商品カテゴリID,商品カテゴリ名, カテゴリ
100,映画 - DVD,11
110,PCゲーム - 通常版,24
120,音楽 - その他,32
130,ゲーム - ゲーム機C,21
140,映画 - ブルーレイ,12
150,ゲーム - ゲーム機B,21
160,ギフト - 小型ゲーム,41
170,ギフト - カード、パズル等,41
180,ギフト - フィギュア,41
190,PCソフト - PCソフト,5
200,映画 - ブルーレイ3D,12
210,ギフト - ぬいぐるみ,41
220,ゲーム - ゲーム機A,21
230,映画 - セット商品,13
240,ギフト - ボードゲーム,41
250,音楽 - CD,31
260,ギフト - ガジェット類,41
270,本 - オーディオブック_タイプA,61
280,ギフト - 記念品_タイプA,42
290,ギフト - 記念品_タイプB,42
300,本 - 教育用,62
310,ゲーム - 付属品(購入特典),23
320,ゲーム周辺機器 - ゲーム機B,22
330,音楽 - レコード,31
340,ゲーム周辺機器 - ゲーム機A,22
350,本 - オーディオブック_タイプB,61
